,sentence_id,text,type
4547,13907,Coulonge,LOC
4548,13913,Peter,PER
4549,13944,Musse,PER
4550,13957,Peter,PER
4551,13957,Ravnholdt,LOC
4552,13986,Peter,PER
4553,14009,Konow,PER
4554,14013,Peter,PER
4555,14057,Trine,PER
4556,14057,Peter,PER
4557,14060,Peter Feldpostkarte,PER
4558,14061,Roagger,PER
4559,14061,Hadersleben,PER
4560,14062,Holstein,ORG
4561,14062,Gefr,ORG
4562,14078,Peter,PER
4563,14112,Peter,PER
4564,14133,Peter,PER
4565,14158,Anna,PER
4566,14158,Peter,PER
4567,14172,Peter,PER
4568,14185,Anna,PER
4569,14185,Peter,PER
4570,14198,Peter,PER
4571,14220,Anna,PER
4572,14220,Peter,PER
4573,14227,Peter,PER
4574,11046,Peter,PER
