,text,type,counts
659,Magdeburg,LOC,1
660,Magdeburgergaden,LOC,1
661,Magrabowa,LOC,1
662,Mai,LOC,1
663,Majhof Stamp,PER,1
665,Major Beerbohm,PER,1
666,Major Kittel,PER,1
667,Major Rrause,PER,1
668,Majorens,PER,1
669,Malmason,LOC,1
670,Malmø,LOC,1
675,Maren Jessen,PER,1
676,Maren Jessens,PER,1
679,Maren Mærsk Østeråbling,PER,1
701,Marsk Roagger,PER,1
680,Maren Mærsks,PER,1
681,Maren Sørensen,PER,1
682,Margrete Jensen,PER,1
683,Margrete Jørgensen Skærbæk,PER,1
684,Margrete Rahr,PER,1
686,Maria Thøjsen,PER,1
687,Marias,PER,1
689,Marie Rahr,PER,1
691,Marjanovka,PER,1
692,Marjanowka,PER,1
694,Marle,PER,1
697,Marnefloden,LOC,1
699,Marsk,ORG,1
564,Korap,LOC,1
563,Konows,PER,1
562,Konow Zollenspieker,PER,1
438,Hygum,PER,1
419,Hindenburg Regiment,ORG,1
420,Hindenburg Roagger,PER,1
421,Hindenburg Stab,ORG,1
422,Hjulby,LOC,1
423,Hoager,LOC,1
424,Hoffmannsstr,PER,1
425,Holland,LOC,1
430,Holstein Goethe-Haus,PER,1
432,Holstein v.,LOC,1
433,Holsten,LOC,1
434,Hotel Deutsches Haus,LOC,1
435,Hs,PER,1
437,Hygum,ORG,1
439,Høj,ORG,1
417,Hindenburg Nr.,LOC,1
441,Højer Sluse,LOC,1
443,Hørve,LOC,1
444,II Batl,ORG,1
445,II Batl .,LOC,1
447,III Battl,ORG,1
448,Ilse,PER,1
449,Ilse Beerbohm,PER,1
450,Insterburg,LOC,1
451,Insterburg,PER,1
453,Isenheim,PER,1
457,Ivers Ellen,PER,1
458,J. Barsballe,PER,1
459,J. Cakariesen,PER,1
418,Hindenburg Poststempel:1,ORG,1
415,Hindenburg,ORG,1
559,Konov's,PER,1
388,Heeres,PER,1
369,Hannover Cøln,LOC,1
370,Hanover,LOC,1
372,Hans Beerbohm,PER,1
373,Hans Hansens,PER,1
374,Hans Jørgen,PER,1
378,Hansens,PER,1
379,Harkau,LOC,1
381,Hauptm,LOC,1
383,Hauptmand Becker,PER,1
384,Hauptmann,PER,1
385,Hauptra,PER,1
386,Havnholdt,LOC,1
387,Havren,LOC,1
389,Heeresberetningen,PER,1
413,Hindenborgs Jubileum sanmen,LOC,1
390,Heide,ORG,1
391,Heidelberg,LOC,1
392,Heini,PER,1
394,Heinrichs,PER,1
395,Hejdelberg,PER,1
396,Hejmdal,LOC,1
402,Hemmingsen,PER,1
404,Henningsens,PER,1
405,Henrik Nielsens,PER,1
406,Hermine Konow,PER,1
408,Herrn J. P. Marsk Roagger,PER,1
410,Hindenborg,PER,1
411,Hindenborg Reg.,LOC,1
460,J. Jensen,PER,1
462,J. P. Marsk Coln,PER,1
464,J. P. Märsk,PER,1
536,Kirstine Bejer,PER,1
518,K.D.Feldposte-Edition,PER,1
519,K.D.Feldpostexp,PER,1
520,K.D.Feldpoststation,PER,1
522,Kaiser,PER,1
524,Karlsruhe,LOC,1
525,Karpaterne,LOC,1
526,Katrine Midtgård,PER,1
527,Kcnov,PER,1
529,Kerteminde,LOC,1
531,Kino,ORG,1
532,Kirkeby,LOC,1
533,Kirsten,PER,1
534,Kirstens,PER,1
537,Kirstine L.,PER,1
466,J. Petersen,PER,1
538,Kirstine Lastein,PER,1
539,Kitscheners,PER,1
541,Kjesten,PER,1
542,Kjesten Riber,PER,1
545,Kjæresten,PER,1
549,Kolstein,PER,1
551,Komp.s,ORG,1
552,Konigsberg,PER,1
553,Konkordia,LOC,1
554,Konov,LOC,1
556,Konov Depot,ORG,1
557,Konov hænter,PER,1
558,Konov sine,PER,1
517,K.D. Feld-Postexped,PER,1
515,K,PER,1
514,Jørns,PER,1
511,Jørgen Andersen,PER,1
467,J. Thøjsen,PER,1
468,J.M.,PER,1
469,J.P.,PER,1
470,J.P. Marsk Roagger,PER,1
471,Jakob,PER,1
472,Jakob Clasen,PER,1
473,Jakob Villadsen,PER,1
475,Jan.,LOC,1
476,Jan.,PER,1
479,Jena,LOC,1
482,Jens Bennedsen,PER,1
483,Jens Busks,PER,1
484,Jens Cl,PER,1
488,Jens Tøjsen,PER,1
489,Jensen,PER,1
490,Jeppe Vinds,PER,1
493,Jes Mærsk Østerobling,PER,1
494,Jes Mærskes,PER,1
496,Jetzow,PER,1
497,Johan Johansen,PER,1
499,Johanne Bejer,PER,1
500,Johanne Skovs plads,PER,1
503,Johannesborg,LOC,1
504,Johannisburg,LOC,1
505,Johansen,PER,1
506,Jorgen Jensen,PER,1
508,Julemanden,PER,1
1264,østpreuser,LOC,1
