verb,freq
trådte,4
omgivet,4
svarede,4
hængt,4
sået,4
skælde,4
drukket,4
steg,4
sanse,4
grædt,4
nytte,4
rode,4
fejrer,4
slap,4
oplever,4
uddannet,4
pudse,4
laves,4
andraget,4
ryger,4
stole,4
lede,4
drille,4
forespurgt,4
siddende,4
efterset,4
skikket,4
fryse,4
flytter,4
betaler,4
gøres,4
lærte,4
skyder,4
udsovet,4
modtage,4
rækker,4
lo,4
træffer,4
erklæret,4
sørg,4
lidt,4
anlagt,4
lykkes,4
beførderet,4
håbede,4
marcheret,4
sandse,4
skinnede,4
hviler,4
raser,4
kniber,4
brændte,4
fyret,4
råber,4
vendte,4
undres,4
indrette,4
fordrive,4
hentet,4
gribe,4
beskyde,4
slæbt,4
afhænte,4
melder,4
bjærge,4
kaldes,4
indkaldt,4
koste,4
tillukket,4
truffet,4
søgte,4
bliv,4
overkomme,4
løbet,4
drømmer,4
kaldt,4
tyder,4
forsvundne,4
tilladt,4
råder,4
beskudt,4
forsvunden,4
ærgre,4
flyver,4
forlangt,4
skønne,4
spekuleret,4
sendes,4
morede,3
cyklet,3
forsvare,3
svaret,3
fortsætte,3
jog,3
more,3
lappet,3
keder,3
foretaget,3
pløje,3
vist,3
lettede,3
kæmpe,3
slidt,3
svedt,3
manglet,3
klarede,3
høste,3
gælder,3
udleveret,3
forestillet,3
kostede,3
jagede,3
sigte,3
lappe,3
lukke,3
udbredt,3
lønner,3
forloves,3
findes,3
opvarmet,3
indkvarteret,3
frøs,3
slår,3
råbe,3
tages,3
lønne,3
forstærket,3
slide,3
trækker,3
overtog,3
brugte,3
indgive,3
retter,3
jager,3
undersøgte,3
forsvandt,3
bide,3
forflyttet,3
tælle,3
kaldte,3
love,3
forbunden,3
fortjæne,3
kneb,3
drager,3
modstå,3
åbne,3
ridende,3
rører,3
forsynet,3
pudser,3
varet,3
uddannes,3
stoppet,3
kaste,3
byder,3
slippe,3
vende,3
prøver,3
piskede,3
stormet,3
takket,3
flygtet,3
født,3
cykler,3
buldrer,3
stegt,3
tilbragte,3
brændt,3
hugger,3
syet,3
meddeler,3
malet,3
tordner,3
indtog,3
fortsatte,3
vækkede,3
kommende,3
damper,3
bøje,3
indse,3
besat,3
anset,3
lød,3
dække,3
plejet,3
trine,3
tiltalt,3
narre,3
besluttet,3
bestemmer,3
græd,3
arbejdede,3
undersøge,3
forberedt,3
samler,3
indlagt,3
bestiller,3
risikerer,3
sammensat,3
trak,3
holdes,3
stiller,3
tjent,3
beregne,3
stemmer,3
beså,3
overskredet,3
spekulerede,3
bemærket,3
fyrer,3
ruller,3
ende,3
husket,3
fortrudt,3
sortere,3
beholdt,3
dannet,3
tænder,3
sorterede,3
bedømme,3
   ,3
spørg,3
forliges,3
gravet,3
grebet,3
badet,3
gengælde,3
risikere,3
redet,3
forstået,3
tørres,3
vænt,3
viser,3
leer,3
drage,3
lukkede,3
drøm,3
nævne,3
brudt,3
forlænget,3
vågner,3
ynke,3
plukke,3
ordnes,3
landet,3
leder,3
ventede,2
omtalte,2
ride,2
mødt,2
pløjer,2
naa,2
moret,2
husk,2
forstyrrede,2
røgte,2
opsat,2
troer,2
konmer,2
mangle,2
forlovede,2
haaber,2
lyve,2
trøste,2
pløjet,2
ha,2
smutter,2
valgte,2
vælger,2
hitte,2
mødes,2
afhente,2
undte,2
sovede,2
råbt,2
hore,2
klappede,2
tjene,2
optræde,2
tilbudt,2
vejer,2
forbedrer,2
troet,2
duer,2
fulgtes,2
skænke,2
udtjent,2
slipper,2
skar,2
bandte,2
angriber,2
krydse,2
springer,2
udtalte,2
drillede,2
kravlede,2
fejrede,2
mødte,2
repræsenterede,2
overfyldt,2
forkølet,2
stoppede,2
vender,2
undre,2
syes,2
indspærre,2
behandle,2
medbragt,2
stegte,2
feje,2
andrage,2
sættes,2
udvist,2
udført,2
trykker,2
smed,2
præsenteret,2
lugtede,2
morer,2
svedte,2
tagen,2
passet,2
lyse,2
river,2
rive,2
knager,2
forlangte,2
gruer,2
pleje,2
opskreven,2
forestilles,2
cyklende,2
rørte,2
behøve,2
deler,2
spekulerer,2
glemmer,2
svinder,2
kræver,2
rengjort,2
forlove,2
kaster,2
ekcercere,2
mødtes,2
vænde,2
stikker,2
græder,2
sørgede,2
dø,2
giftes,2
danne,2
overgiver,2
logerer,2
spejde,2
vendt,2
forhindre,2
åbnede,2
røg,2
fyldte,2
standsede,2
skinnende,2
vunden,2
afsendes,2
nedbrændte,2
fortæl,2
bestilte,2
la,2
frygte,2
susede,2
ofre,2
udbetalt,2
forglem,2
slumrede,2
stoppe,2
afbrudt,2
bagte,2
tildelt,2
kvartere,2
kæmpet,2
krøb,2
begav,2
trillede,2
lukket,2
hentede,2
stikke,2
hilser,2
fylde,2
forgået,2
medsendte,2
vandrede,2
besluttede,2
glædede,2
foregik,2
fægte,2
tvinge,2
indviet,2
undrer,2
dækker,2
knust,2
høres,2
ringer,2
ligne,2
erfarer,2
beskrive,2
thelegrafere,2
hilset,2
spis,2
drive,2
fantaserede,2
afgivet,2
anede,2
betalte,2
pakker,2
flyvende,2
greb,2
prøvede,2
thelegraferet,2
besværet,2
bukket,2
angrebet,2
fortjænt,2
snappet,2
jaget,2
plager,2
ment,2
skrives,2
nynner,2
foretage,2
grædende,2
skifter,2
logerede,2
uddanne,2
skikke,2
nyder,2
kæmper,2
beregnet,2
dampede,2
måle,2
vundet,2
svømmer,2
skubbet,2
støtte,2
samlede,2
savnede,2
rømmet,2
grave,2
serveres,2
bestil,2
delt,2
ejer,2
bukke,2
eksploderede,2
undret,2
afsat,2
begrænse,2
beskyder,2
fortærer,2
pynte,2
indlevet,2
stopper,2
skete,2
interesserede,2
stødte,2
vælter,2
vedtaget,2
forbyde,2
forbudt,2
forkælet,2
indsprøjtet,2
fyres,2
fyre,2
drillet,2
hang,2
ængstes,2
glide,2
taber,2
befinder,2
kastet,2
afgive,2
overtager,2
drevet,2
skælder,2
lyde,2
skjult,2
stillede,2
gro,2
griber,2
rullen,2
opdaget,2
nævnt,2
red,2
vover,2
rumlede,2
øsende,2
overse,2
trukken,2
udføres,2
forskudt,2
rettet,2
ekspedere,2
knuses,2
begravet,2
transportere,2
hygger,2
pas,2
skænde,2
